Game Id, Game Name, Players Online
"204880", "b'Sins of a Solar Empire: Rebellion'", 1
"447020", "b'Farming Simulator 17'", 1
"22490", "b'Fallout: New Vegas RU'", 1
"255710", "b'Cities: Skylines'", 1
"365670", "b'Blender'", 1
"400040", "b'ShareX'", 1
"222900", "b'Dead Island: Epidemic'", 1
"423650", "b'Summer Fling'", 1
"857440", "b'Hentai Puzzle'", 1
"767610", "b'If you know what I mean'", 1
"287700", "b'METAL GEAR SOLID V: THE PHANTOM PAIN'", 1
"438740", "b'Friday the 13th: The Game'", 1
"384300", "b'CPUCores :: Maximize Your FPS'", 1
"367520", "b'Hollow Knight'", 1
"795510", "b'Koihime Enbu RyoRaiRai'", 1
"298110", "b'Far Cry 4'", 1
"611500", "b'Quake Champions'", 1
"389140", "b'Horizon Chase Turbo'", 1
"654900", "b'qop'", 1
"291480", "b'Warface'", 1
"63910", "b"King's Bounty: Crossworlds"", 1
"666140", "b'My Time At Portia'", 1
"253710", "b'theHunter Classic'", 1
"219150", "b'Hotline Miami'", 1
"2600", "b'Vampire: The Masquerade - Bloodlines'", 1
"570940", "b'DARK SOULS\xe2\x84\xa2: REMASTERED'", 1
"281990", "b'Stellaris'", 1
"410710", "b'System Shock: Enhanced Edition'", 1
"714020", "b'Idle Adventure'", 1
"488790", "b'South Park The Fractured But Whole'", 1
"204100", "b'Max Payne 3'", 1
"346500", "b'Road Scars: Origins'", 1
"410850", "b'Dragon Quest Heroes'", 1
"322500", "b'SUPERHOT'", 1
"631510", "b'Devil May Cry HD Collection'", 1
"373420", "b'Divinity: Original Sin Enhanced Edition'", 1
"225540", "b'Just Cause 3'", 1
"313340", "b'Mountain'", 1
"268870", "b'Satellite Reign'", 1
"409710", "b'BioShock Remastered'", 1
"799560", "b"Blackbeard's Cove"", 1
"681660", "b'Bless Online'", 1
"493340", "b'Planet Coaster'", 1
"239140", "b'Dying Light'", 1
"515180", "b'Bus Simulator 18'", 1
"221100", "b'DayZ'", 1
"236430", "b'DARK SOULS\xe2\x84\xa2 II'", 1
"704550", "b'Hentai'", 1
"370620", "b'Onyx'", 1
"485510", "b'Nioh: Complete Edition'", 1
"788260", "b'Rules Of Survival'", 1
"680480", "b'ICY: Frostbite Edition'", 1
"348740", "b'Abyss Cave'", 1
"304930", "b'Unturned'", 1
"304240", "b'Resident Evil / biohazard HD REMASTER'", 1
"457010", "b'StarsOne'", 1
"450590", "b'Safety Driving Simulator: Car'", 1
"379720", "b'DOOM'", 1
"39160", "b'Dungeon Siege III'", 1
"438100", "b'VRChat'", 1
"438040", "b'Shakes and Fidget'", 1
"588430", "b'Fallout Shelter'", 1
"212740", "b'TERA'", 1
"564310", "b'Serious Sam Fusion 2017 (beta)'", 1
"482730", "b'Football Manager 2017'", 1
"512900", "b'Streets of Rogue'", 1
